year,model,terrain,engine_capacity,mpg,exterior_color,interior_color,gear_type,type_of_car,number_of_keys,price,miles
2019 RAM,1500 CREW CAB,Laramie Pickup 4D 5 1/2 ft ,"V8, HEMI, 5.7 Liter",15 City / 21 Hwy,Red,Black,"Automatic, 8-Spd",4 Door Truck,2,"$42,990 "," 29,866 miles"
2020 ACURA,MDX,SH-AWD w/Technology Pkg Sport Utility 4D ,"V6, I-VTEC, 3.5 Liter",19 City / 26 Hwy,Black,Black,"Automatic, 9-Spd W/Sequential SportShift",4 Door SUV,2,"$41,590 "," 14,960 miles"
2020 FORD,EXPLORER,Platinum Sport Utility 4D ,"V6, EcoBoost, Twin Turbo, 3.0 Liter",18 City / 24 Hwy,Black,Ebony Lthr Seat Surfaces,"Automatic, 10-Spd W/SelectShift",4 Door SUV,2,"$44,990 "," 18,589 miles"
2018 TOYOTA,SEQUOIA,TRD Sport SUV 4D,"V8, 5.7 Liter",13 City / 17 Hwy,Gray,Black,"Automatic, 6-Spd W/Sequential Shift",4 Door SUV,2,"$42,990 ","26,887 miles"
2019 TOYOTA,TUNDRA CREWMAX,SR5 Pickup 4D 5 1/2 ft ,"V8, Flex Fuel, 5.7 Liter",13 City / 17 Hwy,White,Black,"Automatic, 6-Spd W/Sequential Mode",4 Door Truck,1,"$42,590 "," 14,325 miles"
2017 DODGE,CHALLENGER,SRT 392 Coupe 2D ,"V8, HEMI, 6.4 Liter",14 City / 23 Hwy,Gray,Black,"Manual, 6-Spd",2 Door Coupe,2,"$42,590 "," 13,420 miles"
2020 VOLVO,XC90,T6 Momentum Sport Utility 4D,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",18 City / 26 Hwy,Blue,Black,"Automatic, 8-Spd Geartronic",4 Door SUV,2,"$50,990 ","10,748 miles"
2020 LAND_ROVER,DISCOVERY SPORT,S Sport Utility 4D ,"4-Cyl, Turbocharged, 2.0 Liter",19 City / 24 Hwy,White,Beige,"Automatic, 9-Spd",4 Door SUV,1,"$37,590 "," 18,566 miles"
2013 MASERATI,GRANTURISMO,MC Coupe 2D ,"V8, 4.7 Liter",13 City / 21 Hwy,Black,Beige,"Auto, 6-Spd MC Sptshft",2 Door Coupe,2,"$42,990 "," 38,885 miles"
2020 FORD,EXPLORER,Limited Sport Utility 4D,"4-Cyl, EcoBoost, Turbo, 2.3 Liter",21 City / 28 Hwy,Black,Ebony Lthr Seat Surfaces,"Automatic, 10-Spd W/SelectShift",4 Door SUV,2,"$38,590 ","19,075 miles"
2018 JEEP,WRANGLER UNLIMITED,All New Sahara Sport Utility 4D ,"V6, 3.6 Liter",18 City / 23 Hwy,White,Black Interior Color,"Automatic, 8-Spd",4 Door SUV,2,"$36,590 "," 23,525 miles"
2020 DODGE,CHARGER,Scat Pack Sedan 4D ,"V8, HEMI, 6.4 Liter",15 City / 24 Hwy,White,Black Interior Color,"Automatic, 8-Spd W/AutoStick",4 Door Sedan,2,"$36,990 "," 16,583 miles"
2019 MERCEDES-BENZ,GLS,GLS 450 4MATIC Sport Utility 4D,"V6, Twin Turbo, 3.0 Liter",16 City / 22 Hwy,Black,Black,"Automatic, 9-Spd 9G-Tronic",4 Door SUV,2,"$54,590 ","18,897 miles"
2020 RAM,1500 CREW CAB,Laramie Longhorn Pickup 4D 5 1/2 ft ,"V8, HEMI, ETorque, 5.7 Liter",17 City / 22 Hwy,Silver,Brown,"Automatic, 8-Spd",4 Door Truck,2,"$52,990 "," 21,080 miles"
2019 AUDI,Q5,Premium Plus Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Silver,Black,"Automatic, 8-Spd W/Tiptronic & Sport & Manual Modes",4 Door SUV,1,"$35,990 "," 17,557 miles"
2019 AUDI,Q5,Premium Plus Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Silver,Black,"Automatic, 8-Spd W/Tiptronic & Sport & Manual Modes",4 Door SUV,1,"$36,990 "," 14,960 miles"
2019 AUDI,Q5,Premium Plus Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Silver,Black,"Automatic, 8-Spd W/Tiptronic & Sport & Manual Modes",4 Door SUV,1,"$37,590 "," 19,626 miles"
2019 AUDI,Q5,Premium Plus Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Silver,Black,"Automatic, 8-Spd W/Tiptronic & Sport & Manual Modes",4 Door SUV,1,"$36,990 "," 17,630 miles"
2019 AUDI,Q5,Premium Plus Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Silver,Black,"Automatic, 8-Spd W/Tiptronic & Sport & Manual Modes",4 Door SUV,1,"$35,990 "," 15,194 miles"
2019 INFINITI,QX80,LUXE Sport Utility 4D,"V8, 5.6 Liter",13 City / 19 Hwy,Blue,Black,"Automatic, 7-Spd Adaptive W/Manual Mode & Downshift Rev Matching",4 Door SUV,1,"$47,590 ","21,091 miles"
2020 FORD,F150 SUPERCREW CAB,Platinum Pickup 4D 5 1/2 ft,"V6, EcoBoost, Twin Turbo, 3.5 Liter",16 City / 22 Hwy,Gray,Black Int W/Black Leather,"Automatic, 10-Spd W/Sport Mode",4 Door Truck,2,"$54,990 ","16,784 miles"
2017 BMW,M2,Coupe 2D,"6-Cyl, Turbo, 3.0 Liter",18 City / 26 Hwy,White,Black,"Manual, 6-Spd",2 Door Coupe,2,"$42,990 ","16,246 miles"
2020 VOLVO,XC60,T6 Momentum Sport Utility 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",20 City / 27 Hwy,Silver,Beige,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door SUV,1,"$36,990 "," 16,414 miles"
2020 JEEP,WRANGLER UNLIMITED,Rubicon Sport Utility 4D,"V6, VVT, 3.6 Liter",18 City / 22 Hwy,Black,Black,"Automatic, 8-Spd",4 Door SUV,2,"$50,990 ","10,269 miles"
2020 VOLVO,XC60,T6 Momentum Sport Utility 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",20 City / 27 Hwy,Black,Beige,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door SUV,2,"$37,990 "," 11,372 miles"
2020 VOLVO,XC60,T6 Momentum Sport Utility 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",20 City / 27 Hwy,Red,Black,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door SUV,2,"$38,990 "," 8,778 miles"
2020 LINCOLN,NAUTILUS,Reserve Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",21 City / 26 Hwy,Silver,Cappuccino Luxury Lthr Trim,"Automatic, 8-Spd W/SelectShift",4 Door SUV,2,"$38,990 "," 12,018 miles"
2020 VOLVO,XC60,T6 Momentum Sport Utility 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",20 City / 27 Hwy,Silver,Beige,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door SUV,1,"$37,990 "," 14,984 miles"
